gender,sexual_orientation,location_type,numeric_value(location),income_bracket,numeric_value(income),education_level,interest_tags,app_usage_time_min,app_usage_time_label,swipe_right_ratio,swipe_right_label,likes_received,mutual_matches,profile_pics_count,bio_length,message_sent_count,emoji_usage_rate,last_active_hour,swipe_time_of_day,match_outcome,target_variable
Prefer Not to Say,Gay,Urban,1,High,5,Bachelor’s,"Fitness, Politics, Traveling",52,Moderate,0.6,Optimistic,173,23,4,44,75,0.36,13,Early Morning,Mutual Match,0
Male,Bisexual,Suburban,2,Upper-Middle,4,No Formal Education,"Languages, Fashion, Parenting",279,Extreme User,0.56,Optimistic,107,7,3,301,35,0.42,0,Morning,Chat Ignored,1
Non-binary,Pansexual,Suburban,2,Low,1,Master’s,"Movies, Reading, DIY",49,Moderate,0.41,Optimistic,91,27,2,309,33,0.41,1,After Midnight,Date Happened,0
Genderfluid,Gay,Metro,0,Very Low,0,Postdoc,"Coding, Podcasts, History",185,Extreme User,0.32,Balanced,147,6,5,35,5,0.07,21,Morning,No Action,0
Male,Bisexual,Urban,1,Middle,3,Bachelor’s,"Clubbing, Podcasts, Cars",83,High,0.32,Balanced,94,11,1,343,34,0.11,22,After Midnight,One-sided Like,0
Genderfluid,Lesbian,Small Town,3,High,5,Associate’s,"Anime, Clubbing, DIY",138,Addicted,0.62,Optimistic,163,22,4,112,87,0.18,10,Early Morning,Blocked,0
Male,Asexual,Metro,0,Lower-Middle,2,High School,"Tech, Makeup, Parenting",161,Addicted,0.38,Balanced,54,20,3,202,82,0.32,14,Morning,No Action,0
Female,Bisexual,Remote Area,5,Upper-Middle,4,Postdoc,"Spirituality, Sneaker Culture, Meditation",219,Extreme User,0.47,Optimistic,149,12,2,112,17,0.54,16,Evening,One-sided Like,0
Male,Gay,Suburban,2,High,5,Diploma,"MMA, Board Games, Startups",32,Moderate,0.23,Balanced,98,12,4,239,67,0.27,8,Late Night,Mutual Match,0
Prefer Not to Say,Gay,Remote Area,5,Upper-Middle,4,Bachelor’s,"Social Activism, Astrology, Photography",150,Addicted,0.68,Optimistic,111,5,3,1,92,0.27,23,Afternoon,Relationship Formed,0
Female,Gay,Remote Area,5,Lower-Middle,2,Postdoc,"Startups, Fashion, Yoga",191,Extreme User,0.41,Optimistic,195,5,4,488,99,0.57,16,Early Morning,Catfished,0
Non-binary,Queer,Urban,1,Very Low,0,Master’s,"Memes, Fitness, Gaming",123,Addicted,0.53,Optimistic,145,30,0,43,93,0.13,15,Early Morning,Relationship Formed,0
Female,Lesbian,Remote Area,5,Middle,3,Postdoc,"Anime, Spirituality, Stand-up Comedy",216,Extreme User,0.71,Swipe Maniac,54,29,4,386,93,0.43,22,Morning,No Action,0
Transgender,Asexual,Metro,0,Upper-Middle,4,PhD,"Photography, Fitness, Politics",32,Moderate,0.38,Balanced,86,0,4,283,29,0.23,18,Morning,Mutual Match,0
Male,Straight,Suburban,2,Very Low,0,No Formal Education,"Astrology, Cooking, Investing",121,Addicted,0.28,Balanced,71,21,3,109,69,0.08,4,After Midnight,Catfished,0
Genderfluid,Queer,Suburban,2,Very High,6,PhD,"Poetry, Fashion, Movies",49,Moderate,0.56,Optimistic,168,13,2,216,52,0.39,14,After Midnight,Mutual Match,0
Prefer Not to Say,Gay,Urban,1,Middle,3,Master’s,"Movies, Fitness, Fashion",97,High,0.49,Optimistic,137,14,1,216,23,0.54,8,Evening,Blocked,0
Male,Queer,Small Town,3,Very Low,0,No Formal Education,"Social Activism, Painting, Hiking",47,Moderate,0.49,Optimistic,192,27,1,85,52,0.31,15,Evening,Blocked,0
Transgender,Straight,Suburban,2,Middle,3,No Formal Education,"DIY, Spirituality, Clubbing",146,Addicted,0.46,Optimistic,108,22,5,401,71,0.41,21,After Midnight,Date Happened,0
Female,Bisexual,Rural,4,Low,1,No Formal Education,"Meditation, Sneaker Culture, Painting",31,Moderate,0.65,Optimistic,191,10,0,25,74,0.18,15,Late Night,Relationship Formed,0
Female,Straight,Small Town,3,Very Low,0,Diploma,"Cooking, Startups, MMA",120,Addicted,0.68,Optimistic,103,3,4,126,74,0.2,19,Early Morning,Catfished,0
Male,Demisexual,Remote Area,5,Upper-Middle,4,Postdoc,"Foodie, Spirituality, Tech",160,Addicted,0.54,Optimistic,61,8,3,67,85,0.19,20,Afternoon,Date Happened,0
Non-binary,Gay,Urban,1,Middle,3,High School,"Cooking, Painting, Tech",259,Extreme User,0.56,Optimistic,67,4,2,451,8,0.68,7,Afternoon,No Action,0
Female,Queer,Small Town,3,High,5,Bachelor’s,"History, Social Activism, Stand-up Comedy",4,Barely,0.57,Optimistic,170,26,4,153,84,0.29,3,Morning,No Action,0
Male,Gay,Remote Area,5,Upper-Middle,4,Diploma,"Art, Coding, Startups",107,High,0.88,Swipe Maniac,183,10,1,351,81,0.29,8,Late Night,Date Happened,0
Non-binary,Straight,Urban,1,High,5,MBA,"Art, Dancing, Hiking",170,Addicted,0.17,Choosy,197,4,5,134,20,0.12,23,Evening,Relationship Formed,0
Prefer Not to Say,Demisexual,Small Town,3,Very Low,0,High School,"Cooking, Motorcycling, Yoga",279,Extreme User,0.46,Optimistic,9,5,4,282,18,0.28,13,Morning,Mutual Match,0
Non-binary,Asexual,Urban,1,Lower-Middle,2,Associate’s,"MMA, Fitness, K-pop",52,Moderate,0.5,Optimistic,90,24,4,452,52,0.36,19,After Midnight,Ghosted,2
Female,Lesbian,Suburban,2,Middle,3,No Formal Education,"Pets, Sneaker Culture, Astrology",210,Extreme User,0.78,Swipe Maniac,171,27,5,415,31,0.13,8,Morning,One-sided Like,0
Transgender,Straight,Metro,0,Low,1,Associate’s,"Clubbing, Writing, Memes",116,High,0.52,Optimistic,57,0,5,98,51,0.16,10,Afternoon,One-sided Like,0
Non-binary,Asexual,Remote Area,5,Upper-Middle,4,MBA,"MMA, Painting, Astrology",14,Very Low,0.19,Choosy,29,28,2,91,74,0.23,8,Early Morning,One-sided Like,0
Genderfluid,Demisexual,Rural,4,High,5,Master’s,"Board Games, Startups, Investing",59,Moderate,0.32,Balanced,98,28,4,97,32,0.17,1,After Midnight,Chat Ignored,1
Male,Bisexual,Rural,4,Middle,3,High School,"K-pop, Astrology, History",160,Addicted,0.66,Optimistic,169,27,0,368,38,0.06,16,Afternoon,Chat Ignored,1
Non-binary,Demisexual,Remote Area,5,Lower-Middle,2,Postdoc,"Traveling, Fashion, Poetry",194,Extreme User,1,Swipe Maniac,173,23,1,315,72,0.24,9,Evening,Relationship Formed,0
Male,Pansexual,Rural,4,Low,1,MBA,"Meditation, Startups, Social Activism",164,Addicted,0.6,Optimistic,119,14,3,345,27,0.25,16,Evening,Ghosted,2
Prefer Not to Say,Gay,Rural,4,Upper-Middle,4,Master’s,"Reading, Crafting, Fitness",158,Addicted,0.74,Swipe Maniac,57,25,1,75,3,0.39,1,Morning,Date Happened,0
Genderfluid,Gay,Metro,0,Middle,3,Associate’s,"Parenting, Motorcycling, DIY",253,Extreme User,0.87,Swipe Maniac,102,7,1,335,88,0.27,0,Early Morning,Chat Ignored,1
Female,Lesbian,Remote Area,5,Upper-Middle,4,PhD,"Gaming, Languages, Fitness",62,High,0.31,Balanced,116,4,6,237,85,0.54,16,Late Night,Catfished,0
Non-binary,Queer,Small Town,3,Very High,6,Postdoc,"Board Games, Languages, Running",81,High,0.66,Optimistic,190,27,3,230,33,0.71,7,After Midnight,No Action,0
Genderfluid,Queer,Remote Area,5,Low,1,Bachelor’s,"Running, Cooking, Parenting",146,Addicted,0.35,Balanced,60,8,2,163,69,0.22,2,Morning,Ghosted,2
Female,Demisexual,Remote Area,5,Low,1,Associate’s,"Cooking, Poetry, Astrology",277,Extreme User,0.5,Optimistic,119,13,0,105,53,0.66,12,Late Night,Mutual Match,0
Genderfluid,Demisexual,Metro,0,Very Low,0,Master’s,"Memes, Crafting, DIY",214,Extreme User,0.49,Optimistic,137,23,5,279,77,0.1,7,Evening,Blocked,0
Non-binary,Demisexual,Metro,0,Very Low,0,MBA,"Astrology, K-pop, MMA",207,Extreme User,0.46,Optimistic,185,5,6,239,16,0.39,19,Late Night,Mutual Match,0
Transgender,Straight,Urban,1,High,5,MBA,"Traveling, Clubbing, Pets",25,Low,0.65,Optimistic,66,12,2,108,58,0.27,10,Afternoon,Chat Ignored,1
Non-binary,Demisexual,Rural,4,Very High,6,High School,"Skating, Music, Sneaker Culture",276,Extreme User,0.54,Optimistic,13,5,1,332,8,0.08,20,Early Morning,Mutual Match,0
Female,Bisexual,Urban,1,Upper-Middle,4,Diploma,"Fitness, Traveling, Skating",58,Moderate,0.85,Swipe Maniac,144,30,1,238,89,0.4,8,Afternoon,Ghosted,2
Genderfluid,Gay,Suburban,2,Lower-Middle,2,High School,"Meditation, Music, Memes",294,Extreme User,0.72,Swipe Maniac,173,29,3,203,91,0.33,6,Early Morning,Catfished,0
Prefer Not to Say,Bisexual,Urban,1,High,5,Bachelor’s,"MMA, Startups, Photography",289,Extreme User,0.38,Balanced,200,1,2,272,54,0.11,21,Afternoon,One-sided Like,0
Genderfluid,Asexual,Urban,1,Very High,6,MBA,"Gardening, Movies, Board Games",185,Extreme User,0.69,Optimistic,162,28,6,235,90,0.51,4,Evening,Ghosted,2
Prefer Not to Say,Pansexual,Small Town,3,Very High,6,Postdoc,"Skating, Clubbing, Board Games",137,Addicted,0.2,Balanced,82,27,1,425,11,0.19,8,Evening,Blocked,0
Transgender,Demisexual,Rural,4,Very Low,0,PhD,"Foodie, Pets, Gardening",108,High,0.64,Optimistic,90,25,2,174,35,0.1,19,After Midnight,No Action,0
Genderfluid,Straight,Small Town,3,Low,1,High School,"Fitness, Tattoos, Poetry",250,Extreme User,0.43,Optimistic,142,24,1,353,60,0.13,20,After Midnight,Date Happened,0
Transgender,Straight,Urban,1,Lower-Middle,2,Associate’s,"Binge-Watching, Motorcycling, Fitness",156,Addicted,0.51,Optimistic,169,18,2,242,70,0.1,16,Afternoon,Chat Ignored,1
Prefer Not to Say,Asexual,Rural,4,High,5,PhD,"Art, Memes, Spirituality",118,High,0.67,Optimistic,30,23,1,161,15,0.03,23,Late Night,Ghosted,2
Female,Bisexual,Remote Area,5,Middle,3,Bachelor’s,"Tattoos, Meditation, Crafting",268,Extreme User,0.34,Balanced,152,9,0,426,24,0.32,9,Morning,Instant Match,0
Female,Pansexual,Urban,1,High,5,Postdoc,"Traveling, Art, Dancing",27,Low,0.83,Swipe Maniac,141,9,5,483,16,0.25,20,Evening,One-sided Like,0
Male,Pansexual,Metro,0,Middle,3,PhD,"Astrology, Pets, Gaming",129,Addicted,0.25,Balanced,122,3,6,33,51,0.36,15,Early Morning,Catfished,0
Prefer Not to Say,Straight,Suburban,2,Low,1,Bachelor’s,"Reading, Fitness, Photography",285,Extreme User,0.83,Swipe Maniac,195,13,4,305,79,0.09,7,Late Night,Chat Ignored,1
Transgender,Queer,Rural,4,Very High,6,MBA,"Memes, Makeup, History",30,Moderate,0.59,Optimistic,156,30,5,50,97,0.38,6,After Midnight,Blocked,0
Non-binary,Gay,Suburban,2,Low,1,Diploma,"Languages, Cooking, Anime",1,Barely,0.31,Balanced,104,14,5,304,60,0.36,9,Early Morning,Blocked,0
Non-binary,Pansexual,Remote Area,5,Very High,6,PhD,"Cooking, MMA, Politics",135,Addicted,0.41,Optimistic,160,18,5,411,25,0.28,13,Early Morning,Relationship Formed,0
Female,Lesbian,Rural,4,Very High,6,Diploma,"Cooking, Gaming, Anime",157,Addicted,0.97,Swipe Maniac,152,23,6,291,36,0.11,14,Early Morning,Date Happened,0
Prefer Not to Say,Pansexual,Remote Area,5,Middle,3,Bachelor’s,"Investing, Painting, Gardening",224,Extreme User,0.51,Optimistic,20,19,0,455,55,0.42,23,Afternoon,Catfished,0
Non-binary,Straight,Urban,1,Low,1,No Formal Education,"Crafting, MMA, Art",295,Extreme User,0.76,Swipe Maniac,10,2,3,265,83,0.04,14,Afternoon,Ghosted,2
Genderfluid,Demisexual,Remote Area,5,Very High,6,PhD,"Reading, Skating, Writing",209,Extreme User,0.38,Balanced,85,10,5,53,20,0.45,10,Evening,Date Happened,0
Non-binary,Demisexual,Small Town,3,Very Low,0,PhD,"Reading, Foodie, Spirituality",165,Addicted,0.38,Balanced,29,24,3,442,65,0.15,0,After Midnight,Relationship Formed,0
Transgender,Demisexual,Urban,1,Low,1,Postdoc,"Cars, History, Crafting",255,Extreme User,0.56,Optimistic,160,14,6,26,26,0.13,8,Late Night,Ghosted,2
Non-binary,Queer,Remote Area,5,Middle,3,High School,"Music, Podcasts, Startups",122,Addicted,0.14,Choosy,181,5,2,282,1,0.08,17,Evening,One-sided Like,0
Female,Gay,Metro,0,Very Low,0,Diploma,"Gardening, Parenting, Coding",260,Extreme User,0.46,Optimistic,180,8,3,427,61,0.55,15,Morning,Date Happened,0
Genderfluid,Lesbian,Metro,0,Low,1,Postdoc,"Sneaker Culture, Traveling, Cooking",141,Addicted,0.5,Optimistic,197,25,6,212,43,0.34,16,Afternoon,Mutual Match,0
Non-binary,Pansexual,Small Town,3,Upper-Middle,4,PhD,"Yoga, Running, Painting",247,Extreme User,0.44,Optimistic,88,10,4,390,69,0.28,12,Evening,Instant Match,0
Female,Bisexual,Small Town,3,Middle,3,Associate’s,"Poetry, Dancing, Foodie",242,Extreme User,0.88,Swipe Maniac,180,29,6,195,49,0.55,21,After Midnight,Ghosted,2
Transgender,Straight,Suburban,2,Upper-Middle,4,Master’s,"Movies, Running, Stand-up Comedy",233,Extreme User,0.26,Balanced,3,1,3,445,83,0.31,4,Early Morning,Date Happened,0
Non-binary,Asexual,Small Town,3,High,5,MBA,"Social Activism, Reading, Astrology",273,Extreme User,0.36,Balanced,97,30,2,320,91,0.19,15,Late Night,Mutual Match,0
Genderfluid,Gay,Suburban,2,High,5,Bachelor’s,"Politics, Sneaker Culture, Reading",222,Extreme User,0.47,Optimistic,25,24,5,360,12,0.24,14,Morning,No Action,0
Male,Straight,Rural,4,Very High,6,No Formal Education,"Coding, Writing, Cars",220,Extreme User,0.41,Optimistic,37,7,4,210,72,0.34,21,Morning,Ghosted,2
Female,Gay,Small Town,3,Very High,6,MBA,"History, MMA, Fitness",254,Extreme User,0.55,Optimistic,149,4,1,236,81,0.5,8,Evening,No Action,0
Prefer Not to Say,Straight,Metro,0,Lower-Middle,2,Postdoc,"Anime, Cooking, Running",176,Addicted,0.37,Balanced,150,9,5,492,54,0.43,22,Afternoon,Date Happened,0
Non-binary,Bisexual,Metro,0,Very High,6,PhD,"Movies, Fitness, DIY",292,Extreme User,0.8,Swipe Maniac,91,18,2,358,37,0.22,0,After Midnight,Chat Ignored,1
Non-binary,Straight,Small Town,3,Very High,6,No Formal Education,"Startups, Sneaker Culture, Gardening",146,Addicted,0.75,Swipe Maniac,198,25,1,310,45,0.39,7,After Midnight,Blocked,0
Genderfluid,Pansexual,Remote Area,5,Very High,6,Diploma,"Podcasts, Movies, Social Activism",20,Low,0.58,Optimistic,79,25,3,17,74,0.18,11,After Midnight,Ghosted,2
Male,Pansexual,Rural,4,High,5,MBA,"Pets, Fashion, Traveling",276,Extreme User,0.51,Optimistic,93,16,4,467,34,0.4,5,Afternoon,Date Happened,0
Non-binary,Asexual,Urban,1,Middle,3,High School,"Yoga, Crafting, Politics",203,Extreme User,0.35,Balanced,142,11,0,404,50,0.54,0,Afternoon,Relationship Formed,0
Male,Queer,Rural,4,High,5,Bachelor’s,"Meditation, DIY, Podcasts",190,Extreme User,0.74,Swipe Maniac,27,21,1,241,3,0.32,19,Late Night,Instant Match,0
Genderfluid,Bisexual,Remote Area,5,Very Low,0,PhD,"Motorcycling, Memes, Social Activism",209,Extreme User,0.34,Balanced,29,4,0,484,4,0.39,9,Evening,One-sided Like,0
Male,Bisexual,Small Town,3,Low,1,MBA,"Clubbing, Cars, K-pop",276,Extreme User,0.12,Choosy,107,18,5,372,19,0.42,13,After Midnight,One-sided Like,0
Transgender,Demisexual,Rural,4,Very Low,0,Master’s,"Tech, Running, Fitness",185,Extreme User,0.6,Optimistic,25,21,2,278,82,0.25,11,Early Morning,Chat Ignored,1
Non-binary,Bisexual,Urban,1,Very High,6,PhD,"Reading, K-pop, Tech",10,Very Low,0.49,Optimistic,12,12,2,124,16,0.42,18,Morning,One-sided Like,0
Genderfluid,Bisexual,Small Town,3,Low,1,Associate’s,"Astrology, Yoga, Startups",1,Barely,0.77,Swipe Maniac,70,27,1,66,69,0.28,8,Morning,One-sided Like,0
Prefer Not to Say,Straight,Suburban,2,Very Low,0,Master’s,"Fitness, Meditation, Foodie",8,Very Low,0.48,Optimistic,44,8,0,64,94,0.25,13,Late Night,One-sided Like,0
Prefer Not to Say,Gay,Metro,0,Middle,3,Master’s,"Investing, Meditation, Movies",231,Extreme User,0.51,Optimistic,128,7,4,22,93,0.39,21,Late Night,No Action,0
Transgender,Straight,Urban,1,Middle,3,MBA,"Board Games, MMA, Movies",251,Extreme User,0.23,Balanced,182,29,3,37,10,0.54,10,Late Night,Ghosted,2
Male,Lesbian,Rural,4,Upper-Middle,4,Postdoc,"Parenting, Foodie, DIY",271,Extreme User,0.76,Swipe Maniac,75,14,4,309,55,0.16,3,After Midnight,One-sided Like,0
Prefer Not to Say,Bisexual,Metro,0,Middle,3,Associate’s,"Poetry, Astrology, Clubbing",204,Extreme User,0.53,Optimistic,106,23,0,160,54,0.47,10,After Midnight,No Action,0
Non-binary,Lesbian,Remote Area,5,Middle,3,High School,"Reading, Board Games, Movies",190,Extreme User,0.69,Optimistic,33,17,0,300,71,0.39,17,Afternoon,One-sided Like,0
Transgender,Asexual,Remote Area,5,Very High,6,MBA,"Tattoos, Gaming, Coding",159,Addicted,0.15,Choosy,90,3,4,259,27,0.51,4,After Midnight,Date Happened,0
Female,Gay,Rural,4,Very High,6,Postdoc,"Cars, Photography, Crafting",142,Addicted,0.64,Optimistic,146,7,6,219,71,0.12,19,Late Night,Relationship Formed,0
Male,Pansexual,Urban,1,Low,1,Bachelor’s,"Motorcycling, Crafting, Memes",173,Addicted,0.5,Optimistic,89,0,1,445,18,0.34,18,After Midnight,Chat Ignored,1
Male,Lesbian,Remote Area,5,High,5,No Formal Education,"Reading, Sneaker Culture, Stand-up Comedy",110,High,0.49,Optimistic,96,13,3,174,20,0.62,11,Afternoon,Instant Match,0
Genderfluid,Gay,Urban,1,Low,1,Diploma,"Crafting, History, Gaming",41,Moderate,0.28,Balanced,69,14,5,217,62,0.34,19,Evening,Chat Ignored,1
Non-binary,Bisexual,Small Town,3,Very Low,0,Master’s,"Board Games, Photography, Coding",249,Extreme User,0.69,Optimistic,134,21,2,23,28,0.24,12,Late Night,Mutual Match,0
Male,Bisexual,Rural,4,Low,1,Diploma,"Crafting, Spirituality, Coding",167,Addicted,0.34,Balanced,30,0,3,382,55,0.19,5,Morning,Chat Ignored,1
Genderfluid,Bisexual,Small Town,3,Upper-Middle,4,Master’s,"Cooking, Binge-Watching, Sneaker Culture",21,Low,0.29,Balanced,111,0,3,471,9,0.58,10,Late Night,Chat Ignored,1
Genderfluid,Demisexual,Remote Area,5,High,5,MBA,"Coding, Photography, Binge-Watching",10,Very Low,0.6,Optimistic,83,5,6,485,79,0.46,14,After Midnight,Instant Match,0
Male,Demisexual,Urban,1,Low,1,MBA,"Meditation, Binge-Watching, Stand-up Comedy",40,Moderate,0.46,Optimistic,101,27,2,381,43,0.13,7,Afternoon,Ghosted,2
Male,Gay,Small Town,3,Upper-Middle,4,Associate’s,"Writing, Tattoos, Social Activism",75,High,0.97,Swipe Maniac,60,3,1,131,25,0.12,5,Late Night,Ghosted,2
Prefer Not to Say,Gay,Suburban,2,Very High,6,PhD,"Clubbing, Crafting, Makeup",296,Extreme User,0.45,Optimistic,114,21,4,329,81,0.52,19,Afternoon,Instant Match,0
Female,Queer,Urban,1,Middle,3,PhD,"Podcasts, Memes, Art",28,Low,0.31,Balanced,90,16,0,158,59,0.47,14,Early Morning,Mutual Match,0
Non-binary,Pansexual,Urban,1,High,5,High School,"History, Startups, Investing",196,Extreme User,0.54,Optimistic,118,18,4,488,94,0.24,1,Evening,Catfished,0
Prefer Not to Say,Bisexual,Rural,4,Upper-Middle,4,PhD,"Investing, Yoga, Gaming",230,Extreme User,0.35,Balanced,26,25,6,175,91,0.12,2,Late Night,Ghosted,2
Male,Bisexual,Remote Area,5,Middle,3,PhD,"Stand-up Comedy, History, Anime",186,Extreme User,0.68,Optimistic,95,29,2,198,52,0.14,10,After Midnight,Catfished,0
Male,Asexual,Urban,1,Lower-Middle,2,High School,"Languages, MMA, DIY",145,Addicted,0.41,Optimistic,64,23,6,336,77,0.61,4,Afternoon,One-sided Like,0
Genderfluid,Lesbian,Rural,4,Lower-Middle,2,MBA,"Traveling, Startups, Parenting",43,Moderate,0.22,Balanced,79,17,3,329,42,0.45,4,After Midnight,Relationship Formed,0
Male,Demisexual,Small Town,3,Lower-Middle,2,No Formal Education,"Cars, Memes, Pets",109,High,0.45,Optimistic,87,30,6,248,24,0.21,7,Morning,Ghosted,2
Male,Pansexual,Urban,1,Upper-Middle,4,Postdoc,"Sneaker Culture, Stand-up Comedy, Dancing",172,Addicted,0.51,Optimistic,196,19,1,305,48,0.13,4,Morning,Ghosted,2
Prefer Not to Say,Lesbian,Remote Area,5,Middle,3,No Formal Education,"Poetry, Cars, MMA",121,Addicted,0.48,Optimistic,113,19,2,385,95,0.14,14,Morning,Relationship Formed,0
Female,Pansexual,Metro,0,Very High,6,Associate’s,"Cars, MMA, Makeup",225,Extreme User,0.52,Optimistic,118,24,2,398,48,0.29,16,Late Night,Chat Ignored,1
Female,Bisexual,Small Town,3,Low,1,Bachelor’s,"Gaming, Social Activism, Skating",190,Extreme User,0.35,Balanced,141,29,0,364,66,0.33,3,Afternoon,One-sided Like,0
Female,Pansexual,Metro,0,Upper-Middle,4,Diploma,"Board Games, Reading, Politics",230,Extreme User,0.55,Optimistic,89,29,0,212,6,0.22,12,Late Night,Instant Match,0
Female,Demisexual,Urban,1,Lower-Middle,2,Associate’s,"Music, Foodie, Movies",171,Addicted,0.55,Optimistic,37,4,0,146,60,0.17,22,Morning,Date Happened,0
Transgender,Straight,Urban,1,Very Low,0,Bachelor’s,"Tech, Yoga, Languages",270,Extreme User,0.7,Swipe Maniac,108,3,6,147,30,0.12,9,Early Morning,Mutual Match,0
Female,Demisexual,Remote Area,5,Very High,6,PhD,"Cooking, Photography, Gardening",274,Extreme User,0.65,Optimistic,4,4,4,123,91,0.02,4,Afternoon,Chat Ignored,1
Male,Asexual,Suburban,2,Upper-Middle,4,MBA,"Pets, K-pop, Reading",268,Extreme User,0.57,Optimistic,92,2,4,278,64,0.15,16,Late Night,Mutual Match,0
Transgender,Queer,Urban,1,High,5,MBA,"Cars, Spirituality, Sneaker Culture",8,Very Low,0.82,Swipe Maniac,91,25,0,176,30,0.36,23,After Midnight,One-sided Like,0
